108年01月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"16,775,306","1,182,131,473",71.40,71.40,69.90,70.10,-0.70,"7,968"
108/01/03,"36,659,461","2,526,323,765",69.00,69.40,68.50,68.90,-1.20,"17,345"
108/01/04,"37,313,571","2,520,135,828",68.20,68.20,67.00,67.60,-1.30,"18,110"
108/01/07,"24,084,557","1,661,796,863",68.70,69.40,68.30,69.30,+1.70,"11,167"
108/01/08,"18,303,188","1,258,685,500",69.60,69.60,68.20,68.60,-0.70,"8,027"
108/01/09,"31,946,504","2,226,173,028",68.90,70.20,68.80,69.90,+1.30,"12,390"
108/01/10,"19,041,006","1,318,925,953",69.80,69.80,68.90,69.30,-0.60,"6,868"
108/01/11,"23,895,923","1,666,289,347",69.80,70.20,69.40,69.40,+0.10,"8,299"
108/01/14,"14,186,528","978,121,932",69.30,69.70,68.60,68.70,-0.70,"5,838"
108/01/15,"34,095,247","2,391,707,840",69.50,70.60,69.50,70.30,+1.60,"13,090"
108/01/16,"16,978,789","1,190,557,739",69.80,70.50,69.80,70.20,-0.10,"7,213"
108/01/17,"14,229,333","1,001,981,116",70.70,70.90,70.00,70.40,+0.20,"6,079"
108/01/18,"13,989,609","987,788,089",70.50,70.80,70.30,70.80,+0.40,"5,758"
108/01/21,"13,812,012","982,801,352",71.30,71.40,70.90,71.20,+0.40,"6,076"
108/01/22,"9,804,658","692,841,394",71.20,71.20,70.30,70.70,-0.50,"4,294"
108/01/23,"14,218,510","995,321,209",70.50,70.50,69.60,69.70,-1.00,"6,712"
108/01/24,"21,008,129","1,467,646,630",69.50,70.10,69.50,70.00,+0.30,"6,872"
108/01/25,"37,127,222","2,619,546,538",70.20,70.90,70.20,70.70,+0.70,"9,069"
108/01/28,"25,776,596","1,824,318,059",70.80,71.00,70.60,70.80,+0.10,"6,705"
108/01/29,"25,436,535","1,781,646,390",69.90,70.60,69.80,69.90,-0.90,"7,599"
108/01/30,"32,866,799","2,303,214,538",69.90,70.50,69.80,70.00,+0.10,"7,053"
