108年08月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/01,"31,383,363","2,448,631,923",77.80,78.40,77.60,77.90,-0.70,"13,709"
108/08/02,"51,771,742","3,932,053,892",76.50,76.60,75.50,75.50,-2.40,"25,321"
108/08/05,"49,484,279","3,630,339,605",74.90,74.90,72.60,72.80,-2.70,"25,954"
108/08/06,"40,168,974","2,899,786,822",71.00,73.60,70.70,73.30,+0.50,"19,447"
108/08/07,"26,458,601","1,935,659,844",73.60,73.90,72.80,72.90,-0.40,"12,876"
108/08/08,"19,132,614","1,401,390,427",72.80,73.70,72.70,73.10,+0.20,"8,520"
108/08/12,"18,829,546","1,386,961,208",73.20,74.30,72.80,73.70,+0.60,"9,212"
108/08/13,"18,041,979","1,319,078,341",73.80,73.80,72.90,72.90,-0.80,"8,642"
108/08/14,"34,110,030","2,497,656,890",74.00,74.30,72.60,72.60,-0.30,"13,839"
108/08/15,"29,341,797","2,102,556,384",71.50,71.90,71.30,71.60,-1.00,"14,450"
108/08/16,"33,475,801","2,407,954,491",71.40,72.70,71.20,72.00,+0.40,"14,550"
108/08/19,"19,816,447","1,437,460,797",72.50,73.00,72.20,72.40,+0.40,"9,431"
108/08/20,"18,777,661","1,361,574,436",72.50,72.90,72.40,72.40, 0.00,"8,278"
108/08/21,"27,098,920","1,989,126,254",73.00,73.80,72.60,73.50,+1.10,"12,750"
108/08/22,"23,080,538","1,702,786,612",74.00,74.30,73.30,73.90,+0.40,"9,530"
108/08/23,"16,397,789","1,203,893,184",73.50,73.90,73.20,73.30,-0.60,"8,009"
108/08/26,"29,641,247","2,131,214,083",71.80,72.10,71.60,72.00,-1.30,"15,334"
108/08/27,"37,138,289","2,681,293,432",72.50,72.60,72.00,72.20,+0.20,"9,144"
108/08/28,"14,696,633","1,061,042,978",72.30,72.50,72.00,72.40,+0.20,"7,462"
108/08/29,"20,188,936","1,452,837,808",72.40,72.40,71.80,71.90,-0.50,"9,559"
108/08/30,"39,791,593","2,926,659,371",72.80,74.20,72.60,74.20,+2.30,"16,463"
