108年06月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/06/03,"30,691,063","2,240,945,696",73.30,73.70,72.20,73.40,-0.50,"13,292"
108/06/04,"39,322,197","2,846,060,314",73.10,73.40,71.80,71.80,-1.60,"17,958"
108/06/05,"48,348,800","3,473,387,525",72.50,72.80,71.00,71.00,-0.80,"20,283"
108/06/06,"38,757,260","2,760,665,454",71.00,72.00,71.00,71.10,+0.10,"15,184"
108/06/10,"35,654,410","2,562,142,098",72.00,72.30,71.20,72.10,+1.00,"13,300"
108/06/11,"28,059,014","2,031,363,362",72.10,72.80,71.90,72.40,+0.30,"11,952"
108/06/12,"40,554,559","2,954,223,835",72.50,73.90,72.00,73.70,+1.30,"16,870"
108/06/13,"42,030,922","3,106,369,148",73.60,74.40,73.20,74.20,+0.50,"16,684"
108/06/14,"40,758,143","3,057,620,636",74.20,75.50,74.20,75.10,+0.90,"19,770"
108/06/17,"33,119,409","2,519,346,493",75.60,76.50,75.20,76.40,+1.30,"16,702"
108/06/18,"36,656,969","2,790,370,844",77.20,77.50,75.10,75.90,-0.50,"17,471"
108/06/19,"49,543,345","3,812,397,346",77.40,77.40,76.40,77.20,+1.30,"19,591"
108/06/20,"26,823,796","2,077,861,695",77.30,77.80,76.80,77.70,+0.50,"12,705"
108/06/21,"58,532,183","4,537,934,418",78.20,78.80,76.60,76.80,-0.90,"22,404"
108/06/24,"28,060,800","2,141,301,281",76.40,77.20,75.30,77.10,+0.30,"13,163"
108/06/25,"21,534,885","1,650,467,278",77.00,77.40,76.10,76.40,-0.70,"11,060"
108/06/26,"17,961,718","1,370,947,546",76.10,76.70,76.10,76.30,-0.10,"7,367"
108/06/27,"32,381,055","2,508,603,582",76.80,77.90,76.70,77.40,+1.10,"11,933"
108/06/28,"21,112,390","1,639,176,256",77.60,78.20,77.40,77.40, 0.00,"7,961"
