108年03月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/03/04,"35,967,079","2,589,105,944",72.30,72.40,71.50,72.20,-0.50,"12,143"
108/03/05,"15,266,318","1,096,096,696",71.60,72.00,71.30,71.90,-0.30,"6,790"
108/03/06,"12,965,399","937,328,566",72.30,72.50,72.00,72.50,+0.60,"5,857"
108/03/07,"18,711,684","1,345,138,832",72.40,72.50,71.50,71.60,-0.90,"7,275"
108/03/08,"26,489,333","1,876,734,471",71.50,71.50,70.60,70.70,-0.90,"11,626"
108/03/11,"16,883,254","1,190,599,669",70.70,70.80,70.30,70.40,-0.30,"7,931"
108/03/12,"17,317,165","1,232,429,568",71.00,71.40,70.80,71.20,+0.80,"7,472"
108/03/13,"15,570,731","1,102,150,204",70.80,71.10,70.60,70.70,-0.50,"7,273"
108/03/14,"15,826,574","1,122,590,461",71.00,71.30,70.70,71.10,+0.40,"5,754"
108/03/15,"39,456,305","2,790,346,597",71.00,71.10,70.60,70.60,-0.50,"8,511"
108/03/18,"19,365,627","1,386,660,321",71.10,72.00,71.00,72.00,+1.40,"9,107"
108/03/19,"15,694,654","1,131,954,788",72.00,72.60,71.70,72.30,+0.30,"7,297"
108/03/20,"13,949,626","1,007,558,467",72.20,72.50,72.00,72.40,+0.10,"5,530"
108/03/21,"18,642,534","1,359,237,840",72.60,73.10,72.50,73.00,+0.60,"9,064"
108/03/22,"15,792,364","1,153,237,189",73.40,73.50,72.40,73.00, 0.00,"7,214"
108/03/25,"20,943,727","1,496,661,255",72.00,72.00,71.10,71.20,-1.80,"9,677"
108/03/26,"6,931,426","496,968,496",71.80,71.90,71.50,71.80,+0.60,"4,040"
108/03/27,"9,927,799","714,018,971",72.00,72.00,71.80,71.90,+0.10,"3,964"
108/03/28,"7,847,350","563,115,125",72.00,72.00,71.50,71.80,-0.10,"3,271"
108/03/29,"37,626,532","2,745,565,736",71.90,73.50,71.60,73.50,+1.70,"14,309"
