108年07月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/07/01,"37,776,031","2,989,054,094",78.70,79.70,78.60,79.40,+2.00,"18,111"
108/07/02,"21,546,017","1,705,333,449",79.00,79.50,78.70,79.10,-0.30,"10,787"
108/07/03,"30,692,214","2,391,526,371",78.40,78.80,77.50,77.50,-1.60,"14,736"
108/07/04,"14,276,447","1,111,651,026",78.00,78.40,77.50,77.70,+0.20,"6,699"
108/07/05,"10,943,297","854,395,365",77.90,78.30,77.90,78.20,+0.50,"5,367"
108/07/08,"19,426,333","1,529,428,867",78.40,79.00,78.30,79.00,+0.80,"9,232"
108/07/09,"21,188,735","1,661,393,530",79.10,79.10,77.80,77.90,-1.10,"9,428"
108/07/10,"20,106,457","1,568,642,420",78.70,78.70,77.70,77.90, 0.00,"8,319"
108/07/11,"20,457,120","1,601,744,784",78.10,78.70,77.80,78.20,+0.30,"9,065"
108/07/12,"26,468,868","2,058,503,042",78.00,78.20,77.50,77.60,-0.60,"11,097"
108/07/15,"37,340,374","2,887,993,512",77.10,78.20,76.10,78.10,+0.50,"16,220"
108/07/16,"59,184,035","4,725,596,800",78.40,80.80,78.40,80.00,+1.90,"26,333"
108/07/17,"31,741,667","2,533,615,702",80.20,80.40,79.30,79.30,-0.70,"14,300"
108/07/18,"20,198,449","1,600,873,450",79.20,79.70,79.00,79.00,-0.30,"8,911"
108/07/19,"24,572,592","1,957,380,338",79.60,80.40,79.30,79.30,+0.30,"10,527"
108/07/22,"38,787,555","3,116,232,002",79.50,80.80,79.40,80.60,+1.30,"16,042"
108/07/23,"38,227,545","3,090,070,309",81.10,81.40,80.30,80.90,+0.30,"16,167"
108/07/24,"73,095,922","5,936,543,093",81.20,81.50,80.80,81.30,+0.40,"27,858"
108/07/25,"62,909,028","4,935,150,376",78.00,79.30,77.80,78.60,X0.00,"27,627"
108/07/26,"22,089,564","1,733,210,163",78.40,78.90,78.10,78.40,-0.20,"10,576"
108/07/29,"18,209,593","1,425,967,829",78.30,78.70,78.00,78.40, 0.00,"7,428"
108/07/30,"27,716,754","2,161,853,958",78.70,78.80,77.60,77.80,-0.60,"10,594"
108/07/31,"24,080,224","1,885,916,520",78.20,78.70,77.70,78.60,+0.80,"9,103"
