107年12月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/12/03,"44,756,298","3,300,697,952",73.10,74.30,73.10,74.00,+2.10,"16,213"
107/12/04,"23,375,621","1,721,144,064",74.00,74.00,73.10,73.40,-0.60,"9,063"
107/12/05,"23,898,867","1,721,015,724",72.30,72.50,71.50,71.60,-1.80,"12,344"
107/12/06,"74,371,497","5,173,756,905",70.30,71.00,68.80,69.00,-2.60,"33,077"
107/12/07,"29,788,587","2,065,631,101",69.20,69.60,69.10,69.10,+0.10,"16,282"
107/12/10,"34,179,628","2,322,581,768",68.20,68.40,67.60,67.70,-1.40,"18,329"
107/12/11,"27,863,901","1,913,157,049",68.50,69.20,68.40,68.40,+0.70,"13,419"
107/12/12,"52,213,235","3,699,121,588",70.50,71.70,70.10,71.20,+2.80,"22,460"
107/12/13,"46,486,838","3,364,791,174",71.20,73.00,71.20,73.00,+1.80,"22,336"
107/12/14,"31,646,440","2,267,067,945",72.60,72.60,71.10,71.50,-1.50,"15,433"
107/12/17,"17,849,612","1,275,940,487",71.60,72.20,71.10,71.10,-0.40,"8,056"
107/12/18,"22,953,185","1,618,690,443",70.50,70.80,70.10,70.80,-0.30,"9,991"
107/12/19,"17,964,150","1,281,356,965",70.90,71.80,70.80,71.80,+1.00,"8,760"
107/12/20,"25,245,106","1,805,594,510",71.10,72.20,70.90,71.50,-0.30,"11,527"
107/12/21,"33,136,429","2,353,447,421",70.60,71.40,70.20,71.40,-0.10,"9,316"
107/12/22,"6,222,257","441,961,791",71.00,71.30,70.80,70.90,-0.50,"4,435"
107/12/24,"11,791,597","838,847,036",70.80,71.40,70.70,71.40,+0.50,"5,306"
107/12/25,"10,943,586","769,819,521",70.00,70.90,70.00,70.70,-0.70,"6,482"
107/12/26,"9,507,306","671,527,729",70.90,71.20,70.20,70.20,-0.50,"5,070"
107/12/27,"17,074,054","1,217,597,624",71.80,71.80,70.80,70.80,+0.60,"7,161"
107/12/28,"16,169,241","1,145,754,397",70.90,71.10,70.70,70.80, 0.00,"5,604"
