107年11月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,"27,825,014","2,210,830,961",79.00,80.00,78.70,79.90,+1.10,"14,064"
107/11/02,"36,586,756","2,936,829,536",79.70,81.60,78.70,81.00,+1.10,"15,057"
107/11/05,"22,500,657","1,803,389,760",81.00,81.00,79.50,80.00,-1.00,"9,822"
107/11/06,"27,208,925","2,126,849,941",79.50,79.60,77.10,77.30,-2.70,"12,329"
107/11/07,"23,857,091","1,858,258,498",78.40,78.40,77.40,77.90,+0.60,"8,606"
107/11/08,"30,437,462","2,350,023,974",78.20,78.40,76.60,76.60,-1.30,"13,422"
107/11/09,"29,900,195","2,272,315,726",76.50,76.60,75.50,76.10,-0.50,"12,313"
107/11/12,"22,024,466","1,679,299,499",75.90,76.90,75.80,76.20,+0.10,"7,775"
107/11/13,"31,659,718","2,355,103,546",74.40,74.80,73.80,74.40,-1.80,"12,266"
107/11/14,"35,175,438","2,598,272,789",74.60,74.70,73.00,73.30,-1.10,"15,801"
107/11/15,"37,827,181","2,781,986,697",73.30,75.40,72.50,74.50,+1.20,"15,743"
107/11/16,"23,952,773","1,779,188,408",74.90,75.00,73.80,74.30,-0.20,"9,336"
107/11/19,"29,570,164","2,170,532,689",73.70,73.80,73.10,73.40,-0.90,"12,196"
107/11/20,"41,385,804","2,960,763,006",72.00,72.70,71.00,71.00,-2.40,"21,043"
107/11/21,"43,288,083","3,021,077,277",69.00,70.90,68.90,70.60,-0.40,"20,770"
107/11/22,"34,033,087","2,380,220,840",70.60,71.00,69.40,69.50,-1.10,"16,757"
107/11/23,"23,607,145","1,653,629,295",69.90,70.40,69.60,70.00,+0.50,"10,747"
107/11/26,"25,629,931","1,820,699,986",71.30,71.50,70.60,71.00,+1.00,"11,579"
107/11/27,"24,442,315","1,723,970,365",71.00,71.00,70.10,70.70,-0.30,"10,507"
107/11/28,"48,699,161","3,524,192,489",71.00,73.40,71.00,73.10,+2.40,"19,916"
107/11/29,"44,209,607","3,248,333,815",74.40,74.50,72.40,72.40,-0.70,"16,789"
107/11/30,"79,512,359","5,770,124,397",72.60,73.90,71.90,71.90,-0.50,"16,857"
