107年08月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/08/01,"30,518,200","2,563,028,560",83.90,84.30,83.50,84.10,+0.30,"9,816"
107/08/02,"30,535,677","2,554,483,656",84.50,84.50,82.60,82.80,-1.30,"12,008"
107/08/03,"23,113,163","1,930,053,935",83.60,83.80,83.00,83.80,+1.00,"10,151"
107/08/06,"23,111,196","1,952,682,416",83.60,84.90,83.60,84.60,+0.80,"9,553"
107/08/07,"31,057,339","2,635,379,676",85.20,85.20,84.40,84.40,-0.20,"11,580"
107/08/08,"32,682,750","2,774,938,551",85.00,85.10,84.40,85.00,+0.60,"12,555"
107/08/09,"26,007,558","2,220,494,242",85.60,85.60,85.00,85.20,+0.20,"11,045"
107/08/10,"33,324,361","2,857,489,450",85.40,86.00,85.30,85.90,+0.70,"14,176"
107/08/13,"35,247,586","2,978,768,364",85.90,86.00,83.50,83.80,-2.10,"17,044"
107/08/14,"74,063,113","6,052,300,499",83.10,83.10,80.80,81.30,-2.50,"33,316"
107/08/15,"47,184,896","3,807,510,462",81.00,81.50,80.30,81.10,-0.20,"22,096"
107/08/16,"26,187,636","2,124,582,015",81.00,81.80,80.30,81.20,+0.10,"12,030"
107/08/17,"23,859,139","1,945,395,682",82.00,82.10,81.10,81.10,-0.10,"8,697"
107/08/20,"21,233,292","1,723,822,723",81.10,81.60,81.00,81.00,-0.10,"9,120"
107/08/21,"21,770,474","1,766,062,240",81.20,81.30,81.00,81.00, 0.00,"8,477"
107/08/22,"17,172,617","1,399,072,074",81.20,81.90,81.20,81.70,+0.70,"7,857"
107/08/23,"21,287,074","1,734,125,085",82.10,82.10,81.00,81.80,+0.10,"9,352"
107/08/24,"21,486,869","1,739,721,400",81.50,81.60,80.50,81.10,-0.70,"9,776"
107/08/27,"19,918,539","1,612,991,811",81.10,81.30,80.80,81.00,-0.10,"8,684"
107/08/28,"23,085,678","1,875,100,803",81.30,81.50,81.00,81.20,+0.20,"8,671"
107/08/29,"21,820,117","1,773,227,509",81.20,81.40,81.10,81.40,+0.20,"8,145"
107/08/30,"26,893,060","2,183,760,280",81.60,81.60,80.90,80.90,-0.50,"10,184"
107/08/31,"43,337,037","3,488,411,600",80.70,80.80,80.30,80.50,-0.40,"14,089"
