107年10月2317鴻海各日成交資訊,
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/10/01,"27,677,022","2,213,853,060",79.90,80.40,79.60,79.90,+0.70,"12,848"
107/10/02,"39,883,714","3,144,463,376",80.30,80.40,78.10,78.10,-1.80,"15,971"
107/10/03,"29,803,905","2,315,818,630",78.10,78.20,77.60,77.80,-0.30,"6,859"
107/10/04,"30,305,034","2,322,411,767",77.70,77.80,76.20,76.20,-1.60,"15,126"
107/10/05,"33,643,388","2,548,528,188",76.20,76.50,75.20,75.60,-0.60,"15,199"
107/10/08,"19,798,390","1,496,082,274",75.40,76.10,75.30,75.50,-0.10,"9,651"
107/10/09,"21,977,940","1,662,200,828",75.70,76.00,75.30,75.30,-0.20,"9,751"
107/10/11,"108,003,464","7,625,976,678",72.20,72.30,70.00,70.10,-5.20,"46,731"
107/10/12,"52,966,494","3,748,639,182",70.00,72.00,69.70,71.90,+1.80,"21,325"
107/10/15,"41,594,483","2,940,268,543",71.20,71.20,70.20,70.50,-1.40,"18,490"
107/10/16,"55,483,183","3,891,573,947",70.10,70.50,70.00,70.40,-0.10,"28,189"
107/10/17,"89,222,440","6,194,723,900",70.70,71.00,68.10,68.10,-2.30,"34,412"
107/10/26,"94,812,656","7,361,023,903",79.80,79.80,75.50,76.20,X0.00,"45,357"
107/10/29,"38,484,156","2,951,213,295",78.20,78.20,75.50,75.50,-0.70,"18,229"
107/10/30,"25,361,205","1,926,689,281",75.50,76.50,75.30,76.40,+0.90,"12,188"
107/10/31,"38,572,406","3,025,383,578",78.10,78.80,77.70,78.80,+2.40,"16,847"
